epoch,d_a,g_a,cycle_a,idt_a,d_b,g_b,cycle_b,idt_b
49.582399,0.101,0.275,0.719,0.058,0.045,0.965,0.754,0.050
49.742399000000006,0.110,0.504,0.766,0.058,0.236,0.112,0.789,0.060
49.902399,0.179,0.196,0.671,0.066,0.257,1.199,0.754,0.054
50.051199000000004,0.276,0.066,0.641,0.057,0.119,0.473,0.694,0.052
50.211199,0.033,0.540,0.711,0.070,0.186,0.101,1.052,0.078
50.371199000000004,0.100,0.377,0.694,0.071,0.261,0.393,0.766,0.052
50.531199,0.075,0.453,0.656,0.059,0.157,0.186,0.726,0.053
50.691199000000005,0.157,0.142,0.734,0.067,0.144,0.231,0.774,0.054
50.851199,0.095,0.702,0.645,0.057,0.117,0.367,0.747,0.050
51.011199000000005,0.087,0.742,0.644,0.061,0.174,0.535,0.783,0.046
51.159999,0.216,0.971,0.719,0.065,0.089,0.608,0.809,0.053
51.319999,0.178,0.969,0.695,0.062,0.073,0.344,0.762,0.053
51.479999,0.056,0.705,0.658,0.065,0.125,0.280,0.766,0.049
51.639999,0.093,0.439,0.669,0.054,0.179,0.742,0.684,0.053
51.799999,0.124,0.335,0.662,0.062,0.160,0.178,0.794,0.052
51.959999,0.104,0.710,0.664,0.061,0.169,0.130,0.763,0.051
52.108799000000005,0.076,0.512,0.662,0.060,0.066,0.553,0.709,0.052
52.268799,0.098,0.554,0.710,0.057,0.244,0.094,0.720,0.051
52.428799000000005,0.070,0.761,0.675,0.057,0.243,0.232,0.650,0.058
52.588799,0.090,0.467,0.658,0.057,0.261,0.264,0.630,0.047
52.748799000000005,0.277,0.101,0.680,0.062,0.261,0.264,0.726,0.052
52.908799,0.115,0.365,0.661,0.052,0.247,0.255,0.556,0.050
53.057599,0.119,0.226,0.647,0.058,0.253,0.270,0.574,0.049
53.217599,0.139,0.973,0.749,0.056,0.255,0.291,0.575,0.054
53.377599000000004,0.124,0.633,0.633,0.060,0.254,0.270,0.624,0.047
53.537599,0.090,0.335,0.698,0.057,0.247,0.273,0.597,0.044
53.697599000000004,0.114,0.343,0.658,0.059,0.250,0.272,0.614,0.045
53.857599,0.636,2.098,0.638,0.052,0.243,0.259,0.539,0.045
54.006399,0.315,0.106,0.628,0.054,0.252,0.252,0.552,0.043
54.166399000000006,0.083,0.401,0.669,0.055,0.249,0.263,0.575,0.049
54.326399,0.127,0.354,0.750,0.062,0.250,0.277,0.620,0.051
54.486399000000006,0.087,0.428,0.615,0.057,0.243,0.268,0.539,0.042
54.646399,0.061,0.537,0.647,0.052,0.246,0.271,0.524,0.045
54.806399,0.442,0.750,0.638,0.054,0.248,0.262,0.557,0.044
54.966399,0.103,0.858,0.733,0.053,0.260,0.249,0.533,0.053
55.115199000000004,0.087,0.369,0.742,0.062,0.245,0.258,0.637,0.061
55.275199,0.104,0.663,0.671,0.053,0.248,0.285,0.542,0.052
55.435199000000004,0.244,0.114,0.658,0.055,0.242,0.285,0.618,0.043
55.595199,0.093,0.555,0.628,0.050,0.250,0.266,0.559,0.042
55.755199000000005,0.124,0.254,0.659,0.057,0.258,0.303,0.550,0.047
55.915199,0.105,0.441,0.673,0.054,0.250,0.240,0.546,0.052
56.063999,0.072,0.486,0.683,0.055,0.251,0.285,0.581,0.053
56.223999,0.081,0.487,0.686,0.052,0.245,0.247,0.522,0.043
56.383999,0.087,0.679,0.742,0.058,0.257,0.241,0.569,0.052
56.543999,0.088,0.495,0.680,0.050,0.248,0.256,0.509,0.052
56.703999,0.167,0.571,0.643,0.064,0.260,0.317,0.616,0.042
56.863999,0.174,1.087,0.620,0.057,0.247,0.273,0.586,0.045
57.012799,0.107,0.671,0.697,0.058,0.235,0.264,0.559,0.053
57.172799000000005,0.209,0.221,0.688,0.054,0.235,0.241,0.542,0.052
57.332799,0.202,0.124,0.664,0.052,0.242,0.290,0.517,0.042
57.492799000000005,0.082,0.583,0.645,0.056,0.243,0.258,0.573,0.043
57.652799,0.133,0.208,0.644,0.053,0.247,0.235,0.530,0.044
57.812799000000005,0.095,0.383,0.619,0.064,0.234,0.289,0.624,0.043
57.972799,0.120,0.329,0.701,0.059,0.239,0.309,0.597,0.056
58.121599,0.104,0.561,0.735,0.050,0.232,0.287,0.548,0.048
58.281599,0.191,0.179,0.673,0.056,0.246,0.295,0.595,0.042
